,kmeans,kmeans2,kmeans_som,ng,ng_som,art,art_som,spectral,spectral_som,gmm_full,gmm_tied,gmm_diag,gmm_spherical,gmm_full_som,gmm_tied_som,gmm_diag_som,gmm_spherical_som,random
kmeans,1.0,0.3354096087081084,0.6442976946695009,0.8233397176726194,0.46905070951670785,0.20006814837751363,0.27494178263150915,0.2666651693829732,0.3070887246075645,0.11548070271961984,0.26839262740113523,0.4553260012702058,0.6335749475512383,0.36627940075397475,0.24563928977202648,0.376136883554286,0.36995297251524867,0.004125752048321062
kmeans2,0.3354096087081084,1.0,0.2549146679864643,0.37002821178337686,0.2728875678141669,0.24673820146017483,0.19101656014733115,0.4798468290794784,0.3842708386421268,0.0664115521473219,0.19475537663357886,0.260305208521355,0.32496240363178863,0.2772165025879046,0.19078877307969586,0.23397760675753843,0.24322989735769096,-0.003663687666045307
kmeans_som,0.6442976946695009,0.2549146679864643,1.0,0.5835348598185878,0.550774958811147,0.20187910477238674,0.35171683505954665,0.23855254790962085,0.38015566887096003,0.07786570179931974,0.26640404372603,0.40021276314457305,0.49650350998913784,0.41434882070424206,0.29050207638918135,0.4411023845832868,0.4237914285313065,0.0029620316216238665
ng,0.8233397176726194,0.37002821178337686,0.5835348598185878,1.0,0.5160249407738045,0.18511981648973036,0.25441800457267566,0.2723407366534903,0.3155526859478061,0.1114979266853591,0.24706416831307249,0.4556862106182901,0.6352094136643435,0.4259368403543114,0.2819424385445574,0.3986712224953454,0.3988101738914826,0.005920274280339542
ng_som,0.46905070951670785,0.2728875678141669,0.550774958811147,0.5160249407738045,1.0,0.14152810501102409,0.307961424253804,0.20817037738131983,0.30594115206995826,0.09678129937510586,0.20546920786361897,0.3543331618843762,0.45957060679926076,0.5647835585568634,0.369439825384577,0.5526970165276909,0.5600487523163328,0.0006928389575543936
art,0.20006814837751363,0.24673820146017483,0.20187910477238674,0.18511981648973036,0.14152810501102409,1.0,0.09911732724702291,0.20575136742854455,0.16193302771929521,-0.0005063893180313128,0.10023967523623394,0.13230170041724731,0.17979720881539785,0.06850411247321413,0.07752733618686623,0.11355002749650112,0.11201646460290164,0.0006664696278662753
art_som,0.27494178263150915,0.19101656014733115,0.35171683505954665,0.25441800457267566,0.307961424253804,0.09911732724702291,1.0,0.26229373336069206,0.25945757939967123,0.06404175890325932,0.19663532251141438,0.21659691190441832,0.27324102764795755,0.30860420962805,0.31882127059780857,0.311450163848005,0.32877105917849897,-0.002893683866831142
spectral,0.2666651693829732,0.4798468290794784,0.23855254790962085,0.2723407366534903,0.20817037738131983,0.20575136742854455,0.26229373336069206,1.0,0.42872388745156303,0.056404237679845655,0.1523044846479208,0.20815203607578545,0.2986495850501595,0.3012435854783532,0.19158292724116374,0.2421667991706635,0.26673793186698813,-0.0002313425727788171
spectral_som,0.3070887246075645,0.3842708386421268,0.38015566887096003,0.3155526859478061,0.30594115206995826,0.16193302771929521,0.25945757939967123,0.42872388745156303,1.0,0.06843289800340586,0.11625859970587954,0.20084522425315252,0.2965893536037263,0.4580682886807732,0.2315665468510801,0.335715594496706,0.35867179780638286,-0.00158151873364589
gmm_full,0.11548070271961984,0.0664115521473219,0.07786570179931974,0.1114979266853591,0.09678129937510586,-0.0005063893180313128,0.06404175890325932,0.056404237679845655,0.06843289800340586,1.0,0.09492611533696224,0.09787877084173126,0.08386546641939598,0.1329882385637232,0.16608542133327103,0.11502132879862766,0.08965741140523142,0.009243371750352312
gmm_tied,0.26839262740113523,0.19475537663357886,0.26640404372603,0.24706416831307249,0.20546920786361897,0.10023967523623394,0.19663532251141438,0.1523044846479208,0.11625859970587954,0.09492611533696224,1.0,0.24454302262373612,0.21342720688333464,0.1939513061653307,0.19328421059135178,0.1956112985309432,0.20977934673532928,0.004757381421550758
gmm_diag,0.4553260012702058,0.260305208521355,0.40021276314457305,0.4556862106182901,0.3543331618843762,0.13230170041724731,0.21659691190441832,0.20815203607578545,0.20084522425315252,0.09787877084173126,0.24454302262373612,1.0,0.40958801153945246,0.3037975658977676,0.23990521367491877,0.3392979372876578,0.3017550579741853,0.0017058797249966293
